voltage,temp,rel time,abs time,volt dif,ppm
10.59639,33.515625,168.297,43:15.1,0.00000,-4.152
10.59639,33.273926,169.459,43:16.2,0.00000,-4.152
10.59639,33.273926,170.621,43:17.4,0.00000,-2.831
10.59639,33.999023,171.784,43:18.5,-0.00001,-7.455
10.59639,33.273926,172.95,43:19.7,-0.00001,-4.813
10.59639,33.354492,174.121,43:20.9,-0.00001,-6.889
10.59639,32.95166,175.282,43:22.0,0.00000,-3.114
10.59639,33.273926,176.443,43:23.2,0.00000,-3.586
10.59639,33.354492,177.605,43:24.4,-0.00001,-5.379
10.59639,33.032227,178.768,43:25.5,0.00000,-3.114
10.59639,33.354492,179.932,43:26.7,0.00000,-2.548
10.59639,33.918457,181.105,43:27.9,0.00000,-3.680
10.59639,32.95166,182.277,43:29.0,0.00000,-2.265
10.59639,33.273926,183.438,43:30.2,0.00000,-2.454
10.59639,33.273926,184.6,43:31.4,0.00000,-2.171
10.59639,33.515625,185.763,43:32.5,0.00000,-2.359
10.59639,33.354492,186.926,43:33.7,0.00000,-4.530
10.59639,33.273926,188.088,43:34.8,0.00000,-2.076
10.59639,32.548828,189.252,43:36.0,0.00000,-2.359
10.59639,33.193359,190.413,43:37.2,0.00000,-4.341
10.59639,32.709961,191.575,43:38.3,0.00000,-4.152
10.59639,32.95166,192.738,43:39.5,-0.00001,-5.190
10.59639,33.435059,193.912,43:40.7,-0.00001,-5.662
10.59639,32.95166,195.085,43:41.8,-0.00001,-5.285
10.59639,33.354492,196.259,43:43.0,-0.00001,-5.568
10.59639,33.273926,197.429,43:44.2,-0.00001,-5.285
10.59639,33.354492,198.59,43:45.3,-0.00001,-5.190
10.59639,33.193359,199.753,43:46.5,-0.00001,-4.813
10.59639,33.273926,200.916,43:47.7,0.00000,-3.303
10.59639,32.629395,202.078,43:48.8,-0.00001,-4.813
10.59639,33.354492,203.242,43:50.0,-0.00001,-5.002
10.59639,33.273926,204.413,43:51.2,-0.00001,-5.285
10.59639,33.354492,205.576,43:52.3,0.00000,-4.341
10.59639,33.193359,206.738,43:53.5,0.00000,-4.530
10.59639,34.160156,207.9,43:54.7,0.00000,-4.624
10.59639,33.193359,209.063,43:55.8,0.00000,-2.359
10.59639,33.273926,210.226,43:57.0,0.00000,-4.435
10.59639,33.354492,211.388,43:58.1,0.00000,-3.492
10.59639,33.112793,212.551,43:59.3,-0.00001,-4.719
10.59639,33.273926,213.712,44:00.5,-0.00001,-5.568
10.59639,33.354492,214.877,44:01.6,-0.00001,-6.040
