pwmcount, residuebefore, residueafter,diff,scaling
5,2265,1823,-442,-1.18677
5,1867,1895,28,0.07518
5,1942,2083,141,0.378585
5,2127,1795,-332,-0.89142
5,1837,1607,-230,-0.61755
5,1648,1745,97,0.260445
5,1789,1667,-122,-0.32757
5,1711,1683,-28,-0.07518
5,1727,2024,297,0.797445
5,2067,1783,-284,-0.76254
5,1825,1753,-72,-0.19332
5,1795,1933,138,0.37053
5,1975,1962,-13,-0.034905
5,2004,1781,-223,-0.598755
5,1822,1859,37,0.099345
5,1900,2356,456,1.22436
5,2398,1855,-543,-1.457955
5,1898,1978,80,0.2148
5,2021,2115,94,0.25239
5,2159,1571,-588,-1.57878
5,1611,1499,-112,-0.30072
5,1541,1893,352,0.94512
5,1940,1503,-437,-1.173345
5,1545,1951,406,1.09011
5,1995,2298,303,0.813555
5,2339,2062,-277,-0.743745
5,2106,2401,295,0.792075
5,2445,1543,-902,-2.42187
5,1587,1833,246,0.66051
5,1875,1903,28,0.07518
5,1952,1726,-226,-0.60681
5,1767,1487,-280,-0.7518
5,1531,1871,340,0.9129
5,1915,1949,34,0.09129
5,1990,2032,42,0.11277
5,2075,2112,37,0.099345
5,2159,1669,-490,-1.31565
5,1711,1957,246,0.66051
5,1998,1767,-231,-0.620235
5,1807,1639,-168,-0.45108
5,1681,1559,-122,-0.32757
5,1601,1805,204,0.54774
5,1849,2095,246,0.66051
5,2139,2064,-75,-0.201375
5,2109,1775,-334,-0.89679
5,1817,1643,-174,-0.46719
5,1686,1667,-19,-0.051015
5,1709,2372,663,1.780155
5,2415,1653,-762,-2.04597
5,1694,1885,191,0.512835
5,1930,1903,-27,-0.072495
5,1948,1830,-118,-0.31683
5,1874,1805,-69,-0.185265
5,1845,1994,149,0.400065
5,2037,2068,31,0.083235
5,2111,2140,29,0.077865
5,2183,2008,-175,-0.469875
5,2047,1779,-268,-0.71958
5,1821,2123,302,0.81087
5,2167,1737,-430,-1.15455
5,1777,1967,190,0.51015
5,2008,2310,302,0.81087
5,2353,1499,-854,-2.29299
5,1541,2100,559,1.500915
5,2143,1599,-544,-1.46064
5,1645,1990,345,0.926325
5,2031,1711,-320,-0.8592
5,1751,2303,552,1.48212
5,2344,2074,-270,-0.72495
