pwmcount, residuebefore, residueafter,diff
5,1796,1905,109
5,1923,2048,125
5,2094,1851,-243
5,1886,2243,357
5,2291,1772,-519
5,1807,1556,-251
5,1590,2311,721
5,2357,1667,-690
5,1700,2271,571
5,2317,1525,-792
5,1561,1775,214
5,1808,1879,71
5,1912,1867,-45
5,1902,1580,-322
5,1615,2080,465
5,2125,1682,-443
5,1716,1673,-43
5,1708,1830,122
5,1865,1871,6
5,1907,2204,297
5,2251,1799,-452
5,1833,1830,-3
5,1865,2072,207
5,2117,1833,-284
5,1867,2155,288
5,2201,2208,7
5,2254,1690,-564
5,1724,1798,74
5,1832,2192,360
5,2238,2014,-224
5,2058,2258,200
5,2304,1823,-481
5,1859,2112,253
5,2161,1848,-313
5,1883,1574,-309
5,1609,2384,775
5,2435,1952,-483
5,1999,1798,-201
5,1833,1688,-145
5,1723,1927,204
5,1949,1593,-356
5,1627,2016,389
5,2060,1498,-562
5,1535,1879,344
5,1912,2211,299
5,2257,1892,-365
5,1913,1911,-2
5,1955,1918,-37
5,1962,1753,-209
5,1788,1865,77
5,1898,1853,-45
5,1887,1947,60
5,1993,1830,-163
5,1864,1810,-54
5,1844,1648,-196
5,1682,2055,373
5,2104,2307,203
5,2352,1632,-720
5,1668,2126,458
5,2173,1874,-299
5,1907,2155,248
5,2202,2040,-162
5,2087,2290,203
5,2335,1833,-502
5,1867,1715,-152
5,1749,2296,547
5,2341,2342,1
5,2388,1532,-856
5,1568,1580,12
5,1615,1714,99
5,1746,2262,516
5,2309,1903,-406
5,1923,2243,320
5,2290,1727,-563
5,1762,1963,201
5,2007,2038,31
5,2085,2032,-53
5,2078,2049,-29
5,2096,1689,-407
5,1724,1916,192
5,1935,1906,-29
5,1926,1671,-255
5,1707,1913,206
5,1959,1913,-46
5,1934,2097,163
5,2140,2104,-36
5,2152,2148,-4
5,2194,1933,-261
5,1979,1739,-240
5,1774,1777,3
5,1811,2115,304
5,2160,1736,-424
5,1770,2024,254
5,2070,2168,98
5,2214,1698,-516
5,1732,1832,100
5,1867,1875,8
5,1909,1693,-216
5,1727,1994,267
5,2039,1737,-302
5,1771,1876,105
5,1909,1923,14
5,1944,2209,265
5,2256,2298,42
5,2346,1888,-458
5,1923,2208,285
5,2254,2151,-103
5,2195,1821,-374
5,1855,1948,93
5,1992,2003,11
5,2050,1640,-410
5,1676,1783,107
5,1818,2021,203
5,2066,2353,287
5,2400,1573,-827
5,1608,2158,550
5,2203,1805,-398
5,1838,2106,268
5,2153,1693,-460
5,1727,2346,619
5,2393,2028,-365
5,2073,1483,-590
5,1519,2230,711
5,2278,1747,-531
5,1783,1518,-265
5,1553,1874,321
5,1906,2213,307
5,2260,1621,-639
5,1659,2121,462
5,2166,1958,-208
5,2005,2101,96
5,2145,1531,-614
5,1565,2076,511
5,2122,1835,-287
5,1869,1782,-87
5,1818,1847,29
