ADC, K2000,INL ppm,,
-2.983517625,-2.988837061,78.8160691,,
-2.878768072,-2.884191596,50.78145585,,
-2.774582884,-2.779507583,83.03164982,,
-2.677432371,-2.682598248,42.59106086,,
-2.572767101,-2.577684545,49.76336731,,
-2.468649283,-2.473187377,70.09753226,,
-2.364549006,-2.368563463,104.8390489,,
-2.259817955,-2.263896957,80.75519167,,
-2.147903814,-2.152094219,50.7835531,,
-2.051356683,-2.054972507,91.88309272,,
-1.946645023,-1.950299175,70.41978573,,
-1.842398482,-1.845774874,80.59038057,,
-1.745324183,-1.748494963,84.76637415,,
-1.640729002,-1.643890812,68.04451957,,
-1.536392831,-1.539291391,76.75146168,,
-1.43220308,-1.434723288,96.97387879,,
-1.327963648,-1.330255591,102.2045076,,
-1.223133567,-1.225677973,59.34382211,,
-1.118584037,-1.120896474,64.89199616,,
-1.014530062,-1.016227328,108.7792942,,
-0.909709021,-0.911592133,72.57062079,,
-0.812866012,-0.814680154,63.14441644,,
-0.708534848,-0.70974568,105.8008545,,
-0.603807497,-0.605413685,48.69230999,,
-0.499408277,-0.500818384,50.68296618,,
-0.3952979,-0.396174836,86.37459579,,
-0.291154843,-0.291876229,84.3621951,,
-0.186366758,-0.187040643,71.45453895,,
-0.082139867,-0.082785495,56.72013426,,
0.013734073,0.013444938,76.16099721,,
0.118032485,0.118154787,99.66803154,,
0.222634648,0.22258036,64.42026548,,
0.326799751,0.32721986,94.2351769,,
0.430969211,0.431750156,112.7122721,,
0.5355844,0.53602702,61.31610358,,
0.639924807,0.640773161,84.24670316,,
0.744223463,0.745302009,89.65972215,,
0.848425913,0.849609729,82.61781647,,
0.945471643,0.946812565,81.95623201,,
1.049768328,1.051289094,82.34324331,,
1.15391825,1.155783723,99.21353592,,
1.258726201,1.260411848,63.60804331,,
1.362884048,1.36493947,82.97957878,,
1.466803059,1.469146473,94.22681727,,
1.571362785,1.573708895,76.88459125,,
1.675849736,1.678457455,85.40231334,,
1.779758395,1.782806036,111.8187053,,
1.877035523,1.879696618,56.84447501,,
1.9812675,1.984167764,63.16492294,,
2.085473428,2.088719553,80.14098787,,
2.18203835,2.185641778,99.5463278,,
2.293844102,2.297703722,106.2905302,,
2.398047552,2.402154062,113.3865826,,
2.502263883,2.50639557,98.34650928,,
2.606505279,2.610978928,114.9273569,,
2.711088098,2.715388165,79.98313242,,
2.807989776,2.812478169,82.46251273,,
2.912587457,2.917341923,91.40723227,,
3.016898085,3.021537466,62.34870101,,
3.120883556,3.126224769,114.8990408,,
3.225564171,3.230742544,81.01073488,,
3.330033771,3.335204533,62.65472515,,
3.433789292,3.439324228,81.53486924,,
3.537967403,3.543861763,99.86963503,,
3.642246037,3.648308462,99.08380066,,
3.739337678,3.745443781,87.09074839,,
3.84326103,3.849490888,81.94121874,,
3.947496502,3.953909942,82.71174071,,
4.051716978,4.058133062,65.42146456,,
4.155929578,4.162650453,78.29632327,,
4.260137431,4.267100071,84.87999724,,
4.349731082,4.356562861,56.72535672,,
4.468633637,4.475905132,80.59570741,,
4.572852435,4.580345714,85.18280334,,
4.669632263,4.677237796,80.08832037,,
4.774190675,4.782037025,86.51830809,,
4.870802068,4.878908943,96.25432141,,
4.982673009,4.990517629,51.23016773,,
5.086925959,5.09514621,71.17029831,,
5.191202413,5.199516009,62.92541648,,
5.295444773,5.303711241,40.6626376,,
5.399183786,5.407991548,77.22772923,,
5.503809038,5.512488882,46.83506622,,
5.600632341,5.609462815,45.56439678,,
5.704872202,5.713863338,44.04604,,
5.809149516,5.818273586,39.7532452,,
5.913410692,5.922681582,36.84942971,,
6.017657451,6.027055578,31.99304096,,
6.121971624,6.131363162,13.76523823,,
6.225655217,6.235723022,63.81423046,,
6.329861507,6.340038981,57.2108171,,
6.434064288,6.444393604,54.81819141,,
6.530770529,6.541277586,56.27377275,,
6.635878761,6.646100559,10.09216119,,
6.740199887,6.750640402,14.35583823,,
6.844483597,6.855134285,17.77285649,,
6.948751232,6.959540204,14.01579084,,
7.052910591,7.063814453,7.941502836,,
7.157090181,7.168373921,28.31797437,,
7.260921885,7.272442465,34.47333401,,
7.365223257,7.376720215,14.54725632,,
7.461775589,7.473711015,42.05754592,,
7.566000502,7.5780892,39.8039516,,
7.6696573,7.681887847,36.50567097,,
7.773683141,7.786281163,55.66982808,,
7.878033178,7.89077797,52.74605384,,
7.982174802,7.994937306,36.97332105,,
8.086477449,8.099423513,37.7303322,,
8.19088387,8.203688956,6.070727425,,
8.287327455,8.300355438,12.07854307,,
8.391322756,8.404676331,27.06659866,,
8.495475623,8.508963575,22.93882186,,
8.599641851,8.613446611,37.02116712,,
8.696475431,8.710394079,32.08075528,,
8.808303436,8.822132592,4.311034359,,
8.912452086,8.926498732,8.481268829,,
9.016219983,9.030835347,47.7792763,,
9.120424915,9.134807694,7.008338743,,
9.209600158,9.22417472,11.1342281,,
9.321006887,9.33600146,34.29994679,,
9.425370057,9.440275587,7.832379344,,
9.529444862,9.54456095,11.32301937,,
9.633439771,9.648755729,13.76011679,,
9.730112914,9.745544447,9.015143788,,
9.841456928,9.857293024,30.64922775,,
9.945776907,9.961620769,13.85352923,,
10.04948125,10.06587667,51.44883164,,
10.14617271,10.16278105,56.41967728,,
10.24282634,10.25947382,44.04696515,,
10.35480849,10.37120369,0,,
