voltage,temp,rel time,abs time
+9.03248291E+00,34.160156,137.287,2022-07-03 21:02:52.463854
+9.03248308E+00,34.160156,138.451,2022-07-03 21:02:53.627471
+9.03248203E+00,34.160156,139.613,2022-07-03 21:02:54.790027
+9.03248114E+00,34.240723,140.775,2022-07-03 21:02:55.951966
+9.03248069E+00,34.160156,141.939,2022-07-03 21:02:57.115459
+9.03248124E+00,34.079590,143.099,2022-07-03 21:02:58.276268
+9.03248173E+00,34.240723,144.263,2022-07-03 21:02:59.439536
+9.03248222E+00,34.160156,145.425,2022-07-03 21:03:00.602439
+9.03248155E+00,34.160156,146.588,2022-07-03 21:03:01.764894
+9.03248093E+00,34.321289,147.749,2022-07-03 21:03:02.926243
+9.03248031E+00,34.160156,148.913,2022-07-03 21:03:04.089462
+9.03248143E+00,34.160156,150.077,2022-07-03 21:03:05.253712
+9.03248223E+00,34.240723,151.248,2022-07-03 21:03:06.425074
+9.03248396E+00,34.401855,152.411,2022-07-03 21:03:07.588128
+9.03248445E+00,34.160156,153.573,2022-07-03 21:03:08.749940
+9.03248498E+00,33.999023,154.735,2022-07-03 21:03:09.911990
+9.03248505E+00,34.240723,155.897,2022-07-03 21:03:11.073663
+9.03248215E+00,34.160156,157.06,2022-07-03 21:03:12.237069
+9.03248424E+00,33.999023,158.223,2022-07-03 21:03:13.399503
+9.03248461E+00,33.837891,159.384,2022-07-03 21:03:14.561002
+9.03248643E+00,33.999023,160.547,2022-07-03 21:03:15.723712
+9.03248639E+00,34.160156,161.709,2022-07-03 21:03:16.886073
+9.03248550E+00,34.885254,162.872,2022-07-03 21:03:18.048707
+9.03248532E+00,34.160156,164.035,2022-07-03 21:03:19.211461
+9.03248408E+00,34.240723,165.198,2022-07-03 21:03:20.375214
+9.03248546E+00,33.515625,166.369,2022-07-03 21:03:21.546337
+9.03248528E+00,33.999023,167.532,2022-07-03 21:03:22.708948
+9.03248683E+00,34.401855,168.693,2022-07-03 21:03:23.870304
+9.03248607E+00,34.321289,169.858,2022-07-03 21:03:25.034676
+9.03248567E+00,34.160156,171.019,2022-07-03 21:03:26.196062
+9.03248578E+00,33.837891,172.181,2022-07-03 21:03:27.357888
+9.03248640E+00,34.160156,173.343,2022-07-03 21:03:28.520089
+9.03248665E+00,33.918457,174.505,2022-07-03 21:03:29.682308
+9.03248719E+00,34.160156,175.669,2022-07-03 21:03:30.845949
+9.03248563E+00,34.321289,176.831,2022-07-03 21:03:32.008387
+9.03248614E+00,34.160156,177.993,2022-07-03 21:03:33.169829
+9.03248627E+00,33.999023,179.155,2022-07-03 21:03:34.332231
+9.03248641E+00,34.160156,180.318,2022-07-03 21:03:35.495238
+9.03248747E+00,34.160156,181.482,2022-07-03 21:03:36.658456
+9.03248845E+00,34.240723,182.644,2022-07-03 21:03:37.820552
+9.03248832E+00,34.160156,183.806,2022-07-03 21:03:38.982564
+9.03248842E+00,34.240723,184.968,2022-07-03 21:03:40.144598
+9.03248762E+00,34.401855,186.131,2022-07-03 21:03:41.308027
+9.03248621E+00,34.321289,187.293,2022-07-03 21:03:42.469518
+9.03248773E+00,34.240723,188.456,2022-07-03 21:03:43.632716
+9.03248884E+00,34.160156,189.619,2022-07-03 21:03:44.795856
+9.03248918E+00,34.160156,190.781,2022-07-03 21:03:45.957826
+9.03248998E+00,34.160156,191.942,2022-07-03 21:03:47.119205
+9.03248878E+00,34.160156,193.11,2022-07-03 21:03:48.287409
+9.03249037E+00,34.160156,194.278,2022-07-03 21:03:49.454650
+9.03249064E+00,34.160156,195.44,2022-07-03 21:03:50.616782
+9.03249051E+00,34.160156,196.602,2022-07-03 21:03:51.778553
+9.03249015E+00,34.240723,197.765,2022-07-03 21:03:52.941959
+9.03249038E+00,34.160156,198.928,2022-07-03 21:03:54.104683
+9.03248936E+00,34.240723,200.09,2022-07-03 21:03:55.267161
+9.03248989E+00,34.240723,201.253,2022-07-03 21:03:56.429833
