pwmcount, residuebefore, residueafter,diff,voltbefore,voltafter,voltdiff 
5,1988,2027,-39,1.602,1.633,-0.031
5,1527,1990,-463,1.230,1.603,-0.373
5,1855,1691,164,1.494,1.362,0.132
5,2078,1886,192,1.674,1.519,0.155
5,2114,2274,-160,1.703,1.832,-0.129
5,1985,1631,354,1.599,1.314,0.285
,,,0,0.000,0.000,0.000
5,1635,1902,-267,1.317,1.532,-0.215
5,1710,2164,-454,1.378,1.743,-0.366
5,1877,2241,-364,1.512,1.805,-0.293
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1755,1713,42,1.414,1.380,0.034
5,1777,1977,-200,1.432,1.593,-0.161
5,2057,2308,-251,1.657,1.859,-0.202
,,,0,0.000,0.000,0.000
5,1854,2062,-208,1.494,1.661,-0.168
5,1518,1832,-314,1.223,1.476,-0.253
5,1528,1467,61,1.231,1.182,0.049
5,2062,1861,201,1.661,1.499,0.162
5,1621,2074,-453,1.306,1.671,-0.365
5,1936,1646,290,1.560,1.326,0.234
5,2140,1887,253,1.724,1.520,0.204
5,2063,1711,352,1.662,1.378,0.284
5,1781,2131,-350,1.435,1.717,-0.282
5,1999,1747,252,1.610,1.407,0.203
5,1817,1721,96,1.464,1.386,0.077
5,2054,1803,251,1.655,1.452,0.202
5,2394,1884,510,1.929,1.518,0.411
5,1689,2155,-466,1.361,1.736,-0.375
5,1985,1977,8,1.599,1.593,0.006
5,1962,2112,-150,1.581,1.701,-0.121
5,2249,2137,112,1.812,1.722,0.090
5,2334,1871,463,1.880,1.507,0.373
5,2258,1743,515,1.819,1.404,0.415
,,,0,0.000,0.000,0.000
5,2312,1848,464,1.863,1.489,0.374
5,2076,1951,125,1.672,1.572,0.101
5,2130,1506,624,1.716,1.213,0.503
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1672,1984,-312,1.347,1.598,-0.251
,,,0,0.000,0.000,0.000
5,1918,2177,-259,1.545,1.754,-0.209
5,2003,1586,417,1.614,1.278,0.336
5,1765,1617,148,1.422,1.303,0.119
5,1749,1547,202,1.409,1.246,0.163
,,,0,0.000,0.000,0.000
5,2216,2208,8,1.785,1.779,0.006
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,2418,2154,264,1.948,1.735,0.213
5,1875,2078,-203,1.510,1.674,-0.164
5,2259,1688,571,1.820,1.360,0.460
5,2226,1997,229,1.793,1.609,0.184
5,2020,2044,-24,1.627,1.647,-0.019
5,1969,2166,-197,1.586,1.745,-0.159
5,2288,2222,66,1.843,1.790,0.053
,,,0,0.000,0.000,0.000
5,1949,1871,78,1.570,1.507,0.063
5,1883,1891,-8,1.517,1.523,-0.006
5,1871,1970,-99,1.507,1.587,-0.080
5,2376,1771,605,1.914,1.427,0.487
5,2095,1789,306,1.688,1.441,0.247
5,1722,1884,-162,1.387,1.518,-0.131
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1770,1501,269,1.426,1.209,0.217
,,,0,0.000,0.000,0.000
5,2416,2209,207,1.946,1.780,0.167
5,2087,1887,200,1.681,1.520,0.161
5,1893,2150,-257,1.525,1.732,-0.207
5,2085,1974,111,1.680,1.590,0.089
,,,0,0.000,0.000,0.000
5,2045,1986,59,1.647,1.600,0.048
5,2184,2018,166,1.759,1.626,0.134
5,2152,1988,164,1.734,1.602,0.132
5,1953,1768,185,1.573,1.424,0.149
5,1789,1986,-197,1.441,1.600,-0.159
5,2271,1591,680,1.829,1.282,0.548
,,,0,0.000,0.000,0.000
5,1937,1694,243,1.560,1.365,0.196
5,1966,2055,-89,1.584,1.655,-0.072
5,1810,2051,-241,1.458,1.652,-0.194
5,1814,2310,-496,1.461,1.861,-0.400
5,1815,1706,109,1.462,1.374,0.088
5,2140,2188,-48,1.724,1.763,-0.039
5,1954,2016,-62,1.574,1.624,-0.050
,,,0,0.000,0.000,0.000
5,1971,1719,252,1.588,1.385,0.203
5,2377,1996,381,1.915,1.608,0.307
5,1879,1934,-55,1.514,1.558,-0.044
5,1867,1933,-66,1.504,1.557,-0.053
5,1900,1743,157,1.531,1.404,0.126
5,1560,1769,-209,1.257,1.425,-0.168
5,1793,1933,-140,1.444,1.557,-0.113
5,2003,1540,463,1.614,1.241,0.373
5,1952,1953,-1,1.573,1.573,-0.001
5,2023,1603,420,1.630,1.291,0.338
5,1970,2113,-143,1.587,1.702,-0.115
5,2139,1966,173,1.723,1.584,0.139
5,1853,1659,194,1.493,1.336,0.156
5,1841,2353,-512,1.483,1.896,-0.412
